datetime (EST),actual,forecast,impact_on_usd
2021.01.27 14:00,0.25%,0.25%,neutral
2021.03.17 14:00,0.25%,0.25%,neutral
2021.04.28 14:00,0.25%,0.25%,neutral
2021.06.16 14:00,0.25%,0.25%,neutral
2021.07.28 14:00,0.25%,0.25%,neutral
2021.09.22 14:00,0.25%,0.25%,neutral
2021.11.03 14:00,0.25%,0.25%,neutral
2022.01.26 14:00,0.25%,0.25%,neutral
2022.03.16 14:00,0.50%,0.25%,good
2022.05.04 14:00,1.00%,0.75%,good
2022.06.15 14:00,1.75%,1.50%,good
2022.07.27 14:00,2.50%,2.25%,good
2022.09.21 14:00,3.25%,3.00%,good
2022.11.02 14:00,4.00%,3.75%,good
2022.12.14 14:00,4.50%,4.25%,good
2023.02.01 14:00,4.75%,4.50%,good
2023.03.22 14:00,5.00%,4.75%,good
2023.05.03 14:00,5.25%,5.00%,good
2023.06.14 14:00,5.25%,5.25%,neutral
2023.07.26 14:00,5.50%,5.25%,good
2023.09.20 14:00,5.50%,5.50%,neutral
2023.11.01 14:00,5.50%,5.50%,neutral
2023.12.13 14:00,5.50%,5.50%,neutral
2024.01.31 14:00,5.50%,5.50%,neutral
2024.03.20 14:00,5.50%,5.50%,neutral
2024.05.01 14:00,5.50%,5.50%,neutral
2024.06.12 14:00,5.50%,5.50%,neutral