datetime,actual,forecast,good/bad,O_-60,H_-60,L_-60,C_-60,O_-55,H_-55,L_-55,C_-55,O_-50,H_-50,L_-50,C_-50,O_-45,H_-45,L_-45,C_-45,O_-40,H_-40,L_-40,C_-40,O_-35,H_-35,L_-35,C_-35,O_-30,H_-30,L_-30,C_-30,O_-25,H_-25,L_-25,C_-25,O_-20,H_-20,L_-20,C_-20,O_-15,H_-15,L_-15,C_-15,O_-10,H_-10,L_-10,C_-10,O_-5,H_-5,L_-5,C_-5,O_0,H_0,L_0,C_0,O_5,H_5,L_5,C_5,O_10,H_10,L_10,C_10,O_15,H_15,L_15,C_15,O_20,H_20,L_20,C_20,O_25,H_25,L_25,C_25,O_30,H_30,L_30,C_30,O_35,H_35,L_35,C_35,O_40,H_40,L_40,C_40,O_45,H_45,L_45,C_45,O_50,H_50,L_50,C_50,O_55,H_55,L_55,C_55,O_60,H_60,L_60,C_60,O_65,H_65,L_65,C_65,O_70,H_70,L_70,C_70,O_75,H_75,L_75,C_75,O_80,H_80,L_80,C_80,O_85,H_85,L_85,C_85,O_90,H_90,L_90,C_90,O_95,H_95,L_95,C_95,O_100,H_100,L_100,C_100,O_105,H_105,L_105,C_105,O_110,H_110,L_110,C_110,O_115,H_115,L_115,C_115,O_120,H_120,L_120,C_120,O_125,H_125,L_125,C_125,O_130,H_130,L_130,C_130,O_135,H_135,L_135,C_135,O_140,H_140,L_140,C_140,O_145,H_145,L_145,C_145,O_150,H_150,L_150,C_150,O_155,H_155,L_155,C_155,O_160,H_160,L_160,C_160,O_165,H_165,L_165,C_165,O_170,H_170,L_170,C_170,O_175,H_175,L_175,C_175,O_180,H_180,L_180,C_180
2021.02.05 08:30,166K,50K,Bad,1803.475,1803.675,1801.505,1801.835,1801.825,1803.135,1801.815,1802.058,1802.058,1802.195,1800.835,1801.795,1801.805,1802.055,1801.155,1801.465,1801.467,1802.723,1801.278,1801.425,1801.425,1802.355,1801.345,1802.175,1802.175,1802.205,1798.615,1798.735,1798.735,1799.273,1796.854,1798.915,1798.915,1799.585,1797.224,1797.918,1797.933,1798.245,1794.998,1795.325,1795.275,1796.625,1793.325,1796.325,1796.345,1797.945,1796.335,1796.758,1796.758,1804.648,1796.758,1804.325,1804.355,1806.325,1802.763,1804.325,1804.336,1806.055,1802.928,1803.065,1803.055,1806.553,1802.895,1806.178,1806.174,1806.548,1802.115,1802.835,1802.865,1802.865,1798.255,1799.825,1799.815,1799.815,1796.505,1797.475,1797.455,1798.255,1795.445,1797.195,1797.145,1800.408,1796.425,1798.895,1798.895,1799.215,1796.715,1797.409,1797.407,1801.502,1797.153,1800.605,1800.585,1803.183,1800.585,1802.265,1802.375,1802.705,1799.125,1799.547,1799.547,1804.133,1799.168,1802.735,1802.715,1803.798,1801.388,1803.598,1803.643,1805.218,1801.456,1801.888,1801.898,1803.528,1801.708,1802.025,1802.015,1803.469,1800.055,1802.665,1802.675,1804.655,1802.225,1804.288,1804.275,1806.168,1803.885,1805.248,1805.258,1805.848,1803.608,1803.785,1803.785,1806.065,1803.585,1805.735,1805.735,1806.858,1805.498,1805.998,1805.998,1808.358,1805.858,1805.898,1805.898,1808.578,1805.858,1807.408,1807.408,1807.948,1806.348,1807.195,1807.115,1807.888,1804.915,1806.068,1806.118,1807.228,1805.738,1805.918,1805.918,1805.918,1802.808,1804.508,1804.518,1805.938,1804.248,1805.838,1805.838,1807.765,1805.838,1806.955,1806.965,1807.718,1806.638,1807.268,1807.218,1808.538,1806.838,1808.158,1808.128,1808.528,1806.918,1807.078,1807.078,1810.168,1807.078,1809.898,1809.848,1810.288,1807.908,1808.718,1808.718,1809.93,1807.865,1809.928
2021.03.05 08:30,916K,182K,Bad,1697.695,1697.695,1695.935,1696.134,1696.054,1696.104,1695.044,1695.184,1695.21,1697.104,1694.414,1696.644,1696.694,1696.694,1694.905,1696.075,1696.084,1697.364,1694.445,1697.154,1697.154,1698.923,1697.154,1698.564,1698.564,1699.584,1696.914,1697.554,1697.544,1698.264,1696.894,1697.024,1697.084,1697.964,1695.508,1695.958,1696.008,1696.698,1695.398,1696.448,1696.438,1697.658,1694.924,1695.915,1695.905,1696.959,1695.158,1695.808,1695.707,1695.769,1687.138,1693.858,1689.818,1694.719,1688.795,1693.858,1693.843,1697.968,1691.658,1697.879,1697.849,1701.089,1697.054,1697.528,1697.528,1697.944,1692.438,1693.828,1693.828,1694.248,1692.238,1693.368,1693.348,1697.308,1693.295,1695.439,1695.448,1699.539,1694.658,1699.455,1699.494,1699.844,1697.919,1699.744,1699.733,1705.429,1699.484,1704.509,1704.503,1707.669,1703.298,1704.385,1704.385,1705.214,1702.248,1703.339,1703.344,1703.42,1700.008,1700.158,1700.168,1700.168,1695.758,1696.048,1696.548,1698.608,1696.245,1696.978,1697.078,1697.698,1695.078,1695.178,1695.138,1696.208,1692.295,1693.128,1693.188,1694.678,1691.678,1694.428,1694.385,1698.298,1694.225,1697.928,1697.938,1701.748,1697.488,1700.111,1700.121,1700.569,1697.325,1697.614,1697.574,1700.768,1697.454,1700.274,1700.175,1702.398,1699.683,1701.538,1701.548,1703.774,1700.234,1700.254,1700.364,1701.168,1698.235,1698.795,1698.914,1701.339,1697.619,1697.828,1697.924,1699.778,1697.458,1699.409,1699.385,1700.284,1698.085,1700.045,1699.985,1700.254,1697.514,1698.074,1698.104,1698.164,1695.978,1696.938,1696.938,1697.884,1695.245,1695.294,1695.275,1696.745,1694.934,1696.215,1696.205,1696.948,1695.385,1696.255,1696.255,1698.515,1696.225,1697.895,1697.908,1699.407,1697.455,1698.059,1698.198,1698.208,1695.778,1695.838,1695.838,1696.838,1695.148,1695.418
2021.04.02 08:30,916K,660K,Bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021.05.07 08:30,266K,978K,Good,1820.148,1820.238,1819.488,1819.855,1819.875,1819.998,1818.838,1819.688,1819.688,1820.278,1819.498,1819.748,1819.748,1820.288,1819.205,1820.168,1820.148,1821.218,1820.108,1820.498,1820.498,1820.718,1819.965,1820.005,1819.995,1819.995,1817.988,1818.328,1818.348,1819.318,1817.915,1819.108,1819.128,1819.238,1817.216,1818.258,1818.235,1819.548,1817.465,1817.465,1817.406,1820.488,1817.195,1819.488,1819.428,1820.448,1817.785,1818.248,1818.338,1834.846,1818.338,1835.068,1834.996,1838.268,1833.151,1835.068,1835.088,1839.448,1835.088,1837.565,1837.578,1839.988,1837.128,1838.678,1838.731,1843.175,1838.608,1842.018,1842.028,1842.978,1837.128,1838.648,1838.648,1841.098,1834.338,1834.778,1834.788,1835.158,1828.498,1828.938,1828.978,1833.198,1827.706,1832.868,1832.978,1834.678,1831.588,1833.408,1833.375,1833.528,1826.548,1827.468,1827.468,1831.308,1827.128,1831.055,1831.188,1831.888,1825.968,1826.665,1826.665,1831.318,1825.468,1831.105,1831.115,1831.968,1826.778,1831.428,1831.378,1835.708,1829.338,1835.225,1835.225,1837.748,1834.438,1836.078,1836.078,1839.008,1835.758,1838.408,1838.408,1838.828,1835.908,1837.458,1837.468,1838.838,1837.225,1837.588,1837.808,1840.098,1837.808,1838.708,1838.728,1839.118,1837.745,1838.118,1838.118,1842.168,1837.515,1839.878,1839.806,1840.748,1836.196,1836.678,1836.688,1837.088,1835.035,1835.238,1835.258,1835.598,1832.725,1833.088,1833.108,1833.698,1830.266,1832.098,1832.048,1832.438,1828.615,1830.448,1830.488,1830.898,1828.585,1829.968,1829.968,1832.365,1829.718,1832.148,1832.118,1832.588,1830.738,1832.588,1832.618,1834.455,1831.578,1834.125,1834.135,1835.148,1833.945,1834.975,1834.945,1834.958,1832.605,1833.198,1833.198,1835.235,1832.798,1834.905,1834.935,1835.045,1832.415,1832.918,1832.948,1834.068,1832.345,1833.568
2021.06.04 08:30,559K,650K,Good,1872.025,1872.158,1871.255,1871.278,1871.268,1871.835,1870.698,1870.708,1870.718,1871.028,1869.195,1869.738,1869.768,1870.058,1869.448,1870.038,1870.038,1871.358,1869.978,1871.125,1871.125,1871.728,1870.995,1871.098,1871.038,1872.628,1871.038,1872.008,1871.998,1872.318,1871.538,1871.728,1871.728,1872.718,1871.158,1871.928,1872.018,1874.228,1871.935,1874.128,1874.098,1874.498,1871.878,1872.028,1871.988,1872.518,1868.668,1870.038,1870.028,1881.754,1870.028,1876.188,1880.954,1881.158,1873.734,1876.188,1876.248,1883.098,1875.478,1882.785,1882.775,1883.598,1880.248,1881.688,1881.678,1884.598,1880.848,1884.238,1884.268,1885.848,1884.018,1884.418,1884.508,1887.168,1884.348,1885.624,1885.608,1888.358,1885.238,1887.618,1887.758,1888.208,1885.578,1886.798,1886.708,1888.148,1886.378,1887.598,1887.598,1888.288,1886.775,1886.788,1886.898,1887.338,1885.179,1886.428,1886.428,1888.908,1886.108,1887.664,1887.648,1889.448,1887.618,1888.798,1888.778,1889.178,1887.185,1888.768,1888.778,1890.104,1887.545,1888.528,1888.408,1891.308,1888.408,1890.514,1890.514,1891.588,1889.958,1891.204,1891.248,1891.648,1889.978,1889.978,1889.978,1892.178,1889.978,1891.998,1892.118,1892.398,1891.478,1891.658,1891.658,1892.228,1890.505,1891.728,1891.788,1892.218,1890.808,1891.738,1891.754,1894.108,1891.754,1893.945,1893.925,1896.098,1893.818,1894.648,1894.665,1895.634,1893.824,1893.854,1893.928,1894.578,1893.154,1893.765,1893.765,1894.698,1893.695,1894.088,1894.068,1894.488,1893.018,1893.688,1893.585,1894.718,1893.435,1893.758,1893.778,1894.408,1892.358,1892.608,1892.608,1894.268,1892.598,1893.988,1893.955,1894.558,1893.398,1894.084,1894.088,1894.468,1893.625,1893.965,1893.965,1894.355,1893.295,1893.488,1893.508,1894.388,1893.458,1894.095,1894.095,1894.218,1892.718,1892.805
2021.07.02 08:30,850K,700K,Bad,1785.998,1786.228,1785.458,1785.828,1785.848,1786.428,1785.648,1786.058,1786.138,1786.708,1785.838,1786.678,1786.668,1787.988,1786.598,1787.858,1787.858,1788.628,1787.358,1788.198,1788.198,1788.298,1785.778,1785.778,1785.788,1786.178,1784.288,1784.388,1784.388,1785.438,1783.068,1785.038,1785.048,1785.788,1783.898,1784.348,1784.348,1785.518,1783.448,1784.698,1784.698,1784.738,1780.368,1780.368,1780.368,1781.798,1780.248,1780.608,1780.614,1786.938,1775.882,1786.198,1786.898,1793.798,1784.128,1786.198,1786.298,1789.248,1783.398,1788.548,1788.578,1789.088,1786.128,1787.008,1787.038,1791.198,1785.918,1790.258,1790.258,1792.862,1788.888,1789.398,1789.398,1794.008,1789.298,1791.148,1791.168,1794.908,1791.168,1794.358,1794.898,1794.928,1792.798,1792.868,1792.858,1794.278,1792.678,1793.798,1793.788,1793.898,1790.838,1791.118,1791.068,1792.058,1788.058,1788.278,1788.278,1790.848,1786.528,1789.808,1789.788,1789.868,1785.358,1786.948,1786.988,1787.348,1784.298,1785.718,1785.708,1786.978,1783.138,1783.298,1783.228,1784.848,1779.998,1784.648,1784.648,1786.208,1783.628,1785.428,1785.388,1786.518,1784.358,1784.828,1784.788,1785.048,1782.208,1782.308,1782.298,1783.758,1781.038,1781.588,1781.648,1782.258,1777.888,1781.878,1781.858,1783.568,1781.798,1783.198,1783.158,1783.908,1782.838,1783.328,1783.328,1784.636,1782.858,1783.478,1783.538,1784.418,1782.388,1784.088,1784.098,1784.328,1782.928,1783.588,1783.588,1784.078,1782.548,1782.938,1782.928,1783.218,1781.698,1781.701,1781.698,1783.748,1781.698,1782.768,1782.718,1783.318,1781.398,1783.148,1783.148,1783.808,1781.588,1782.118,1782.148,1783.818,1782.138,1783.488,1783.468,1784.418,1783.138,1784.418,1784.448,1785.575,1783.438,1783.498,1783.498,1784.378,1783.198,1784.248,1784.268,1785.278,1783.638,1783.718
2021.08.06 08:30,1053K,870K,Bad,1797.658,1798.407,1796.998,1798.243,1798.227,1798.558,1797.907,1798.338,1798.318,1798.788,1798.308,1798.758,1798.658,1799.657,1798.578,1799.517,1799.513,1800.018,1799.117,1799.848,1799.818,1799.818,1799.068,1799.538,1799.538,1799.818,1798.278,1798.938,1798.938,1799.638,1798.938,1799.298,1799.398,1800.988,1799.348,1800.448,1800.428,1800.927,1799.847,1800.467,1800.457,1801.298,1797.118,1797.118,1797.338,1801.055,1796.835,1799.618,1799.628,1799.768,1788.198,1790.098,1790.108,1793.528,1789.078,1790.098,1790.098,1790.988,1779.208,1779.898,1779.898,1780.188,1776.206,1776.358,1776.358,1780.038,1775.418,1777.648,1777.637,1779.398,1776.178,1776.378,1776.348,1776.348,1771.548,1772.0,1772.0,1774.128,1770.805,1773.218,1773.118,1775.408,1772.167,1774.848,1774.858,1774.918,1770.168,1772.238,1772.225,1774.288,1771.695,1773.968,1774.028,1774.028,1770.708,1772.318,1772.318,1773.378,1768.658,1773.268,1773.258,1773.338,1770.698,1771.438,1771.538,1771.578,1769.268,1769.338,1769.358,1769.468,1763.755,1765.008,1764.948,1766.348,1763.768,1764.548,1764.508,1765.508,1763.058,1763.547,1763.517,1764.768,1763.188,1763.958,1763.908,1766.367,1763.628,1766.268,1766.278,1767.977,1765.968,1766.508,1766.488,1766.578,1764.608,1764.998,1764.938,1765.468,1764.246,1765.418,1765.388,1766.018,1764.888,1765.458,1765.538,1765.548,1763.818,1764.588,1764.558,1764.558,1762.765,1762.988,1762.765,1765.348,1762.505,1765.238,1765.278,1765.328,1763.437,1763.998,1763.958,1764.825,1763.728,1764.008,1764.038,1764.048,1760.624,1760.624,1760.578,1762.528,1758.588,1762.098,1762.098,1764.888,1761.738,1764.418,1764.388,1764.728,1762.848,1764.198,1764.158,1764.678,1762.397,1763.568,1763.598,1763.868,1760.848,1761.418,1761.368,1761.538,1759.858,1760.305,1760.305,1761.888,1759.895,1761.708
2021.09.03 08:30,366K,750K,Good,1815.007,1815.354,1814.084,1815.114,1815.114,1815.218,1814.098,1814.547,1814.537,1814.918,1814.537,1814.737,1814.747,1814.848,1813.707,1814.668,1814.608,1815.058,1814.498,1814.875,1814.875,1814.948,1814.175,1814.628,1814.605,1816.054,1814.538,1815.714,1815.698,1816.098,1814.784,1815.207,1815.207,1815.577,1814.534,1814.614,1814.609,1815.407,1814.527,1814.617,1814.647,1817.472,1813.947,1816.998,1817.004,1817.004,1813.047,1814.198,1814.178,1829.478,1813.675,1821.778,1824.883,1826.588,1820.62,1821.778,1822.058,1823.298,1817.648,1819.338,1819.347,1824.777,1818.648,1823.977,1823.967,1824.517,1820.947,1822.507,1822.488,1825.567,1822.488,1823.357,1823.398,1826.518,1823.193,1826.038,1826.068,1826.317,1824.448,1825.168,1825.188,1825.898,1822.712,1824.708,1824.708,1824.978,1822.987,1823.437,1823.437,1826.424,1823.227,1825.557,1825.557,1826.147,1823.485,1823.827,1823.827,1825.178,1823.014,1824.167,1824.167,1825.497,1822.988,1823.565,1823.545,1823.834,1819.118,1820.157,1820.157,1822.928,1819.538,1822.578,1822.568,1824.498,1822.068,1824.068,1823.998,1825.028,1823.994,1824.777,1824.777,1825.397,1821.827,1823.508,1823.517,1824.158,1822.447,1823.677,1823.664,1825.048,1823.317,1824.294,1824.328,1826.257,1823.994,1825.278,1825.274,1826.707,1825.248,1826.408,1826.413,1827.387,1825.834,1825.948,1825.944,1829.148,1825.628,1829.128,1829.128,1829.218,1827.874,1828.185,1828.225,1830.998,1828.225,1829.994,1829.994,1830.797,1828.747,1828.897,1828.938,1830.407,1828.938,1829.758,1829.758,1830.624,1828.967,1830.227,1830.227,1830.847,1829.927,1830.677,1830.694,1832.088,1830.594,1831.637,1831.647,1833.908,1831.637,1833.367,1833.367,1833.787,1831.908,1832.747,1832.758,1833.117,1832.158,1832.748,1832.758,1832.907,1831.544,1831.644,1831.644,1831.978,1829.422,1829.448
2021.10.08 08:30,531K,500K,Good,1762.288,1762.835,1762.278,1762.458,1762.428,1763.015,1761.018,1761.345,1761.305,1761.635,1761.128,1761.535,1761.565,1761.935,1761.385,1761.928,1761.918,1761.935,1761.208,1761.488,1761.498,1761.978,1761.265,1761.618,1761.618,1763.018,1761.328,1762.388,1762.398,1763.268,1762.078,1763.138,1763.148,1764.688,1762.928,1764.24,1764.258,1765.395,1763.645,1763.828,1763.838,1764.468,1762.635,1763.638,1763.608,1764.098,1761.368,1761.725,1761.725,1771.308,1761.725,1775.088,1770.513,1775.198,1770.418,1775.088,1775.015,1776.728,1773.118,1774.628,1774.605,1775.978,1770.335,1770.588,1770.598,1774.348,1770.598,1773.515,1773.665,1776.468,1773.635,1775.755,1775.768,1778.508,1775.698,1778.118,1778.113,1778.665,1777.398,1778.058,1778.078,1778.918,1776.705,1778.008,1778.028,1780.358,1777.843,1779.448,1779.388,1780.948,1778.868,1780.468,1780.465,1781.228,1778.735,1778.808,1778.848,1779.878,1776.788,1777.018,1776.998,1778.388,1773.685,1774.708,1774.738,1775.498,1772.238,1772.275,1772.275,1772.318,1769.218,1771.858,1771.858,1773.698,1771.068,1773.598,1773.608,1774.028,1771.415,1772.578,1772.588,1774.078,1771.958,1773.255,1773.305,1773.715,1769.018,1769.018,1769.068,1769.288,1763.708,1764.198,1764.188,1765.438,1763.688,1764.198,1764.278,1764.315,1761.078,1762.078,1762.088,1762.478,1760.958,1762.408,1762.395,1762.395,1757.898,1758.135,1757.935,1758.955,1755.398,1758.085,1758.075,1759.798,1755.958,1759.768,1759.775,1760.548,1758.158,1758.468,1758.398,1759.165,1757.608,1758.908,1758.925,1759.308,1757.583,1758.825,1758.798,1759.208,1757.558,1758.528,1758.555,1759.998,1758.165,1759.335,1759.335,1759.788,1758.475,1759.205,1759.205,1759.475,1758.078,1758.498,1758.508,1758.708,1757.295,1757.578,1757.578,1758.278,1756.668,1757.588,1757.578,1758.458,1756.678,1756.718
2021.11.05 08:30,546K,425K,Bad,1791.868,1793.788,1784.894,1788.168,1788.308,1797.318,1788.308,1793.558,1793.585,1794.654,1789.494,1790.438,1790.428,1793.378,1790.034,1792.048,1792.038,1792.168,1789.888,1790.414,1790.404,1793.718,1789.744,1790.874,1790.884,1796.002,1790.528,1795.694,1795.674,1795.934,1793.774,1794.874,1794.864,1796.924,1793.358,1795.548,1795.548,1797.128,1794.934,1796.208,1796.178,1796.648,1794.384,1795.354,1795.354,1803.598,1795.064,1801.798,1801.788,1802.004,1798.468,1798.468,1799.628,1800.204,1798.328,1798.468,1798.468,1799.854,1797.014,1798.318,1798.298,1799.374,1796.724,1798.484,1798.478,1798.668,1796.368,1798.418,1798.418,1799.638,1797.268,1799.208,1799.208,1801.944,1798.778,1800.604,1800.614,1800.854,1796.204,1796.998,1796.978,1797.418,1795.834,1796.838,1796.838,1798.314,1796.608,1797.224,1797.214,1798.814,1795.668,1798.298,1798.298,1800.024,1798.184,1799.084,1799.084,1799.884,1798.744,1799.394,1799.364,1800.048,1798.108,1799.964,1799.964,1800.728,1798.234,1799.074,1799.084,1800.048,1798.444,1799.774,1799.794,1801.694,1799.488,1800.824,1800.884,1803.328,1800.774,1801.908,1801.924,1802.814,1801.604,1801.614,1801.614,1802.654,1801.118,1802.484,1802.484,1804.674,1801.934,1804.578,1804.578,1806.028,1803.464,1805.364,1805.364,1806.338,1804.024,1806.168,1806.198,1808.704,1806.198,1808.624,1808.634,1809.448,1807.604,1809.245,1809.245,1810.374,1808.534,1810.164,1810.164,1811.705,1810.164,1810.878,1810.908,1811.428,1807.498,1807.514,1807.514,1809.438,1806.964,1808.314,1808.314,1810.374,1807.694,1809.864,1809.834,1811.048,1809.538,1810.814,1810.814,1811.634,1807.718,1808.734,1808.744,1811.074,1808.354,1810.238,1810.248,1812.334,1810.248,1811.824,1811.804,1812.728,1811.668,1812.674,1812.684,1815.394,1812.404,1813.464,1813.464,1814.124,1812.874,1813.004
2021.12.03 08:30,249K,573K,Good,1772.86,1773.088,1772.338,1772.66,1772.66,1773.098,1772.508,1772.738,1772.738,1772.968,1771.718,1772.708,1772.708,1773.518,1772.408,1773.505,1773.505,1774.408,1772.758,1774.378,1774.36,1774.648,1773.694,1774.118,1774.121,1774.148,1771.328,1771.928,1771.968,1772.116,1769.838,1770.428,1770.408,1772.608,1769.765,1771.745,1771.745,1772.105,1770.19,1770.9,1770.898,1771.85,1769.185,1769.32,1769.328,1769.951,1767.648,1769.638,1769.621,1778.53,1769.608,1772.59,1769.995,1775.058,1769.385,1772.59,1772.6,1773.368,1770.645,1773.24,1773.24,1773.24,1767.935,1769.218,1769.158,1770.008,1766.295,1769.178,1769.048,1771.128,1768.648,1769.948,1769.958,1771.798,1767.778,1769.348,1769.318,1771.805,1767.779,1768.158,1768.075,1771.03,1766.628,1771.03,1771.198,1771.805,1769.168,1770.435,1770.458,1771.205,1769.37,1770.118,1770.218,1771.5,1769.448,1771.068,1771.028,1773.218,1769.675,1769.918,1769.918,1772.678,1768.648,1772.235,1772.311,1773.725,1771.438,1772.398,1772.415,1772.418,1770.305,1772.108,1772.138,1774.35,1772.138,1773.348,1773.35,1773.418,1770.488,1770.768,1770.758,1770.965,1766.338,1768.985,1768.985,1771.235,1768.625,1770.665,1770.715,1772.258,1770.225,1770.858,1770.858,1771.555,1769.535,1770.705,1770.705,1772.358,1770.498,1771.808,1771.79,1772.668,1770.118,1770.175,1770.168,1770.978,1769.618,1770.545,1770.538,1771.838,1770.018,1771.52,1771.538,1772.098,1769.708,1771.035,1771.098,1771.198,1767.968,1769.318,1769.338,1771.358,1768.785,1770.918,1770.918,1770.988,1769.508,1770.628,1770.618,1771.528,1769.655,1771.068,1771.178,1777.695,1771.06,1777.455,1777.435,1777.918,1774.078,1774.809,1774.805,1776.078,1774.448,1775.593,1775.625,1777.548,1775.168,1776.495,1776.468,1776.925,1775.555,1776.745,1776.745,1777.265,1775.735,1776.365
